Frame Number,Person Count in Crowd
1,8
4,9
7,9
10,9
13,11
16,6
19,10
22,10
25,8
28,14
31,7
34,13
37,5
40,7
43,6
46,8
49,6
52,6
55,7
58,6
61,6
64,6
67,6
70,6
73,7
76,7
79,7
82,8
85,6
88,4
91,8
94,7
97,7
100,7
103,5
106,6
109,6
112,6
115,6
118,6
121,6
124,6
127,6
130,6
133,6
136,6
139,6
142,6
145,6
148,6
151,6
154,5
157,4
160,4
163,4
166,4
169,4
172,5
175,5
178,4
181,5
184,5
187,5
190,4
193,5
196,5
199,6
202,5
205,7
208,3
211,3
214,3
217,3
220,3
223,3
226,3
229,3
232,5
235,3
238,5
241,5
244,4
247,4
250,4
253,4
256,4
259,4
262,4
265,4
268,4
271,4
274,9
277,9
280,10
283,6
286,5
289,4
292,9
295,5
298,9
301,6
304,6
307,9
310,10
313,6
316,8
319,5
322,6
325,5
328,5
331,5
334,6
337,5
